237fabs(J - Jold),2.76817
238fabs(J - Jold),1.7284
239fabs(J - Jold),0.737658
240fabs(J - Jold),0.319173
241fabs(J - Jold),15.7555
242fabs(J - Jold),21.8068
243fabs(J - Jold),9.24101
244fabs(J - Jold),5.39621
245fabs(J - Jold),16.8196
246fabs(J - Jold),16.876
247fabs(J - Jold),9.1268
248fabs(J - Jold),0.53184
249fabs(J - Jold),5.53664
250fabs(J - Jold),5.17247
251fabs(J - Jold),0.39613
252fabs(J - Jold),0.95247
253fabs(J - Jold),1.64807
254fabs(J - Jold),2.49624
255fabs(J - Jold),2.71143
256fabs(J - Jold),1.13012
257fabs(J - Jold),0.237437
258fabs(J - Jold),6.00409
259fabs(J - Jold),14.2138
260fabs(J - Jold),11.5508
261fabs(J - Jold),3.73612
262fabs(J - Jold),7.28893
263fabs(J - Jold),11.4958
264fabs(J - Jold),9.31642
265fabs(J - Jold),3.52021
266fabs(J - Jold),0.912163
267fabs(J - Jold),2.27457
268fabs(J - Jold),2.86723
269fabs(J - Jold),1.22747
270fabs(J - Jold),0.74684
271fabs(J - Jold),1.45676
272fabs(J - Jold),1.89943
273fabs(J - Jold),1.9536
274fabs(J - Jold),1.61869
275fabs(J - Jold),0.946877
276fabs(J - Jold),3.66423
277fabs(J - Jold),13.2489
278fabs(J - Jold),10.2808
279fabs(J - Jold),2.90705
280fabs(J - Jold),6.02663
281fabs(J - Jold),9.84344
282fabs(J - Jold),7.61746
283fabs(J - Jold),2.97645
284fabs(J - Jold),0.285462
285fabs(J - Jold),2.77356
286fabs(J - Jold),2.29791
287fabs(J - Jold),0.252827
288fabs(J - Jold),1.08305
289fabs(J - Jold),1.5546
290fabs(J - Jold),1.81911
291fabs(J - Jold),1.82668
292fabs(J - Jold),0.97336
293fabs(J - Jold),0.110386
294fabs(J - Jold),5.01168
295fabs(J - Jold),12.0694
296fabs(J - Jold),9.62921
297fabs(J - Jold),2.28742
298fabs(J - Jold),6.80956
299fabs(J - Jold),10.1278
300fabs(J - Jold),8.04428
301fabs(J - Jold),2.48286
302fabs(J - Jold),0.80899
303fabs(J - Jold),3.52939
304fabs(J - Jold),2.79381
305fabs(J - Jold),0.391285
306fabs(J - Jold),0.907124
307fabs(J - Jold),2.47987
308fabs(J - Jold),2.79371
309fabs(J - Jold),1.61648
310fabs(J - Jold),0.73842
311fabs(J - Jold),0.477937
312fabs(J - Jold),5.68453
313fabs(J - Jold),9.28025
314fabs(J - Jold),5.18286
315fabs(J - Jold),0.730767
316fabs(J - Jold),7.30683
317fabs(J - Jold),6.58955
318fabs(J - Jold),1.39626
319fabs(J - Jold),0.252478
320fabs(J - Jold),0.322476
321fabs(J - Jold),0.911007
322fabs(J - Jold),1.03673
323fabs(J - Jold),0.322677
324fabs(J - Jold),0.727818
325fabs(J - Jold),1.81496
326fabs(J - Jold),1.77749
327fabs(J - Jold),1.29503
328fabs(J - Jold),0.830944
329fabs(J - Jold),0.265575
330fabs(J - Jold),8.56906
331fabs(J - Jold),10.118
332fabs(J - Jold),3.52113
333fabs(J - Jold),2.09438
334fabs(J - Jold),6.25478
335fabs(J - Jold),8.74052
336fabs(J - Jold),3.68801
337fabs(J - Jold),0.786037
338fabs(J - Jold),2.97666
339fabs(J - Jold),2.84551
340fabs(J - Jold),0.868029
341fabs(J - Jold),1.00457
342fabs(J - Jold),2.77703
343fabs(J - Jold),2.61375
344fabs(J - Jold),1.45955
345fabs(J - Jold),0.424847
346fabs(J - Jold),3.21673
347fabs(J - Jold),6.78468
348fabs(J - Jold),6.76143
349fabs(J - Jold),1.71613
350fabs(J - Jold),0.620535
351fabs(J - Jold),2.73701
352fabs(J - Jold),4.00501
353fabs(J - Jold),5.2011
354fabs(J - Jold),2.30469
355fabs(J - Jold),1.81556
356fabs(J - Jold),3.55623
357fabs(J - Jold),3.74461
358fabs(J - Jold),1.15283
359fabs(J - Jold),1.08716
360fabs(J - Jold),3.14997
361fabs(J - Jold),3.41964
362fabs(J - Jold),1.58129
363fabs(J - Jold),1.09956
364fabs(J - Jold),2.39568
365fabs(J - Jold),1.45003
366fabs(J - Jold),0.330805
367fabs(J - Jold),0.637774
368fabs(J - Jold),1.08116
369fabs(J - Jold),0.801686
370fabs(J - Jold),0.266808
371fabs(J - Jold),0.0461817
372fabs(J - Jold),0.0818608
373fabs(J - Jold),0.0869253
374fabs(J - Jold),0.290266
375fabs(J - Jold),0.369687
376fabs(J - Jold),0.30475
377fabs(J - Jold),0.191475
378fabs(J - Jold),0.118627
379fabs(J - Jold),0.105428
380fabs(J - Jold),0.126784
381fabs(J - Jold),0.145916
382fabs(J - Jold),0.142278
383fabs(J - Jold),0.120228
384fabs(J - Jold),0.097384
385fabs(J - Jold),0.0840946
386fabs(J - Jold),0.0790927
387fabs(J - Jold),0.0768993
388fabs(J - Jold),0.072982
389fabs(J - Jold),0.0660267
390fabs(J - Jold),0.0575383
391fabs(J - Jold),0.0497371
392fabs(J - Jold),0.0435884
393fabs(J - Jold),0.0387863
394fabs(J - Jold),0.0345824
395fabs(J - Jold),0.0306663
396fabs(J - Jold),0.0269258
397fabs(J - Jold),0.0233518
398fabs(J - Jold),0.0199018
399fabs(J - Jold),0.0165532
400fabs(J - Jold),0.0131912
401fabs(J - Jold),0.0106297
402fabs(J - Jold),0.00935157
403fabs(J - Jold),0.00770095
404fabs(J - Jold),0.00642771
405fabs(J - Jold),0.00495444
406fabs(J - Jold),0.00365168
407fabs(J - Jold),0.00232404
408fabs(J - Jold),0.00114858
409fabs(J - Jold),0.000350642
410fabs(J - Jold),3.47997e-05
411fabs(J - Jold),0.000115302
412fabs(J - Jold),7.00338e-05
413fabs(J - Jold),6.31318e-05
414fabs(J - Jold),0.000309628
415fabs(J - Jold),0.000741208
416fabs(J - Jold),0.00117211
417fabs(J - Jold),0.00143581
418fabs(J - Jold),0.00148277
419fabs(J - Jold),0.00139393
420fabs(J - Jold),0.00126414
421fabs(J - Jold),0.00114457
422fabs(J - Jold),0.00103118
423fabs(J - Jold),0.000891401
424fabs(J - Jold),0.000698292
425fabs(J - Jold),0.000444
426fabs(J - Jold),0.000140735
427fabs(J - Jold),0.000164585
428fabs(J - Jold),0.000286963
429fabs(J - Jold),0.000349223
430fabs(J - Jold),0.000291953
431fabs(J - Jold),0.000687498
432fabs(J - Jold),0.000433895
433fabs(J - Jold),0.00020757
434fabs(J - Jold),0.000102765
435fabs(J - Jold),0.00112188
436fabs(J - Jold),0.00168932
437fabs(J - Jold),0.00150708
438fabs(J - Jold),0.000874792
439fabs(J - Jold),0.000268425
440fabs(J - Jold),2.45487e-05
441fabs(J - Jold),3.09392e-05
442fabs(J - Jold),7.21015e-05
443fabs(J - Jold),0.00132339
444fabs(J - Jold),0.0141128
445fabs(J - Jold),0.0314884
446fabs(J - Jold),0.0456017
447fabs(J - Jold),0.0543902
448fabs(J - Jold),0.0553821
449fabs(J - Jold),0.0394517
450fabs(J - Jold),0.00408029
451fabs(J - Jold),0.0353935
452fabs(J - Jold),0.0670822
453fabs(J - Jold),0.0883273
454fabs(J - Jold),0.0933454
455fabs(J - Jold),0.0611484
456fabs(J - Jold),0.0067696
457fabs(J - Jold),0.028592
458fabs(J - Jold),0.0362083
459fabs(J - Jold),0.0258139
460fabs(J - Jold),0.00538187
461fabs(J - Jold),0.0198866
462fabs(J - Jold),0.0360822
463fabs(J - Jold),0.030909
464fabs(J - Jold),0.0129103
465fabs(J - Jold),0.00406746
466fabs(J - Jold),0.0120493
467fabs(J - Jold),0.010805
468fabs(J - Jold),0.00506866
